support,itemsets
0.14220183486238533,"frozenset({'LowRevenue', 'Drama', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'ShortRuntime', 'LowRevenue', 'Drama'})"
0.1834862385321101,"frozenset({'NonSummerRelease', 'Drama', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'Drama', 'NonSummerRelease', 'ShortRuntime'})"
0.09174311926605505,"frozenset({'HighRating', 'HighBudget', 'Fantasy'})"
0.10550458715596331,"frozenset({'HighRevenue', 'HighBudget', 'Fantasy'})"
0.07339449541284404,"frozenset({'HighBudget', 'Fantasy', 'LongRuntime'})"
0.07339449541284404,"frozenset({'NonSummerRelease', 'HighBudget', 'Fantasy'})"
0.07339449541284404,"frozenset({'HighBudget', 'Fantasy', 'NotPopularTop25'})"
0.0963302752293578,"frozenset({'HighRating', 'Fantasy', 'HighRevenue'})"
0.0779816513761468,"frozenset({'HighRating', 'Fantasy', 'LongRuntime'})"
0.07339449541284404,"frozenset({'HighRating', 'NonSummerRelease', 'Fantasy'})"
0.0779816513761468,"frozenset({'HighRating', 'Fantasy', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'HighRevenue', 'Fantasy', 'LongRuntime'})"
0.08256880733944955,"frozenset({'HighRevenue', 'NonSummerRelease', 'Fantasy'})"
0.0871559633027523,"frozenset({'HighRevenue', 'Fantasy', 'NotPopularTop25'})"
0.07339449541284404,"frozenset({'Fantasy', 'LongRuntime', 'NotPopularTop25'})"
0.09174311926605505,"frozenset({'NonSummerRelease', 'Fantasy', 'NotPopularTop25'})"
0.2981651376146789,"frozenset({'HighRating', 'HighBudget', 'HighRevenue'})"
0.2706422018348624,"frozenset({'HighRating', 'HighBudget', 'LongRuntime'})"
0.23853211009174313,"frozenset({'HighRating', 'HighBudget', 'NonSummerRelease'})"
0.23394495412844038,"frozenset({'HighRating', 'HighBudget', 'NotPopularTop25'})"
0.0871559633027523,"frozenset({'HighRating', 'HighBudget', 'PopularTop25'})"
0.11009174311926606,"frozenset({'HighRating', 'HighBudget', 'Science Fiction'})"
0.08256880733944955,"frozenset({'HighRating', 'SummerRelease', 'HighBudget'})"
0.08256880733944955,"frozenset({'HighRating', 'HighBudget', 'Thriller'})"
