id,title,release_date,release_date_full,popularity,vote_average,vote_count,adult,runtime,budget,revenue,genres,release_year,release_month,label_popular_top25,label_high_rating
76600,Avatar: The Way of Water,2022-12-14,2022-12-14,40.1375,7.6,13608,False,192,350000000.0,2353096253.0,Action|Adventure|Science Fiction,2022,12,0,1
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,2025-09-19,39.9987,8.32,649,False,99,4100000.0,174502910.0,Animation|Action|Romance|Fantasy,2025,9,0,1
1336189,Delivery Run,2025-09-10,2025-09-10,39.9278,5.729,35,False,84,0.0,0.0,Action|Thriller,2025,9,0,0
1387382,Hunting Season,2025-12-05,2025-12-05,39.4928,7.1,123,False,93,0.0,0.0,Action|Drama|Thriller,2025,12,0,1
1266990,Kulong,2024-05-24,2024-05-24,39.0038,6.778,9,False,48,0.0,0.0,Drama,2024,5,0,0
639988,No Other Choice,2025-09-24,2025-09-24,38.9698,7.7,544,False,139,12200000.0,30098000.0,Crime|Thriller|Comedy,2025,9,0,1
524047,Greenland,2020-07-29,2020-07-29,38.6415,7.1,4988,False,120,34000000.0,52300000.0,Action|Adventure|Thriller|Science Fiction,2020,7,0,1
701387,Bugonia,2025-10-23,2025-10-23,37.4122,7.386,1272,False,119,50000000.0,40796580.0,Science Fiction|Thriller|Comedy,2025,10,0,1
1495435,Ultimo film,2023-10-09,2023-10-09,36.867,0.0,0,False,0,0.0,0.0,Documentary,2023,10,0,0
1495435,Ultimo film,2023-10-09,2023-10-09,36.867,0.0,0,False,0,0.0,0.0,Documentary,2023,10,0,0
13483,Awake,2007-11-28,2007-11-28,36.8102,6.546,1449,False,84,86000000.0,14373825.0,Thriller|Crime|Mystery,2007,11,0,0
13483,Awake,2007-11-28,2007-11-28,36.8102,6.546,1449,False,84,86000000.0,14373825.0,Thriller|Crime|Mystery,2007,11,0,0
1061474,Superman,2025-07-09,2025-07-09,36.7167,7.377,4228,False,130,225000000.0,616823803.0,Science Fiction|Adventure|Action,2025,7,0,1
1246049,Dracula,2025-07-30,2025-07-30,36.4211,7.2,772,False,130,52000000.0,28623298.0,Horror|Fantasy|Romance,2025,7,0,1
1448560,Wildcat,2025-11-19,2025-11-19,33.7429,5.968,78,False,99,50000.0,0.0,Action|Thriller,2025,11,0,0
1034716,People We Meet on Vacation,2026-01-06,2026-01-06,32.6165,7.047,360,False,116,1000000.0,0.0,Romance|Comedy|Drama,2026,1,0,1
1010581,My Fault,2023-06-08,2023-06-08,34.6836,7.76,3981,False,117,0.0,0.0,Drama|Romance|Thriller,2023,6,0,1
1013446,Reflection in a Dead Diamond,2025-06-25,2025-06-25,30.5782,6.136,59,False,87,0.0,0.0,Action|Thriller|Mystery,2025,6,0,0
617126,The Fantastic 4: First Steps,2025-07-23,2025-07-23,34.4981,6.982,2907,False,115,200000000.0,521858728.0,Science Fiction|Adventure|Action,2025,7,0,0
1495435,Ultimo film,2023-10-09,2023-10-09,36.867,0.0,0,False,0,0.0,0.0,Documentary,2023,10,0,0
1495435,Ultimo film,2023-10-09,2023-10-09,36.867,0.0,0,False,0,0.0,0.0,Documentary,2023,10,0,0
1512623,Risqué,2025-08-01,2025-08-01,31.2412,7.368,53,False,91,0.0,0.0,Action|Crime|Thriller,2025,8,0,1
1100988,28 Years Later,2025-06-18,2025-06-18,30.991,6.616,2131,False,115,60000000.0,151308832.0,Horror|Thriller|Science Fiction,2025,6,0,0
1083637,Kantara - A Legend: Chapter 1,2025-10-01,2025-10-01,31.9735,7.017,58,False,165,14000000.0,91000000.0,Action|Drama|Fantasy,2025,10,0,1
1366745,Papá x dos,2025-09-18,2025-09-18,30.7006,4.2,10,False,104,0.0,0.0,Family|Comedy|Romance,2025,9,0,0
1238188,The Captive,2025-09-12,2025-09-12,32.8606,6.929,35,False,134,10720500.0,0.0,Drama|History,2025,9,0,0
1213898,Border 2,2026-01-23,2026-01-23,34.2019,7.7,5,False,199,33000000.0,21000000.0,Action|Drama|War,2026,1,0,1
1087192,How to Train Your Dragon,2025-06-06,2025-06-06,33.423,7.952,2530,False,125,150000000.0,636351148.0,Fantasy|Family|Action|Adventure,2025,6,0,1
1215106,Ko Ga Loak Village,2025-11-06,2025-11-06,30.7847,3.8,5,False,99,0.0,0.0,Comedy|Horror,2025,11,0,0
1261442,American Methods,1917-04-30,1917-04-30,34.8718,1.0,1,False,60,0.0,0.0,Drama,1917,4,0,0
1359607,Miss Kobayashi's Dragon Maid: A lonely dragon wants to be loved,2025-06-27,2025-06-27,32.4068,7.6,10,False,105,0.0,1067775.0,Animation|Comedy|Fantasy,2025,6,0,1
13483,Awake,2007-11-28,2007-11-28,36.8102,6.546,1449,False,84,86000000.0,14373825.0,Thriller|Crime|Mystery,2007,11,0,0
13483,Awake,2007-11-28,2007-11-28,36.8102,6.546,1449,False,84,86000000.0,14373825.0,Thriller|Crime|Mystery,2007,11,0,0
772462,Don't Follow Me,2025-10-30,2025-10-30,30.1523,6.474,38,False,83,0.0,1015383.0,Horror|Mystery,2025,10,0,0
